year,remittances_million_eur,remit_bank_million,remit_mto_million,remit_other_million,mto_share_pct,exports_million_eur,gdp_current_million_eur,remittances_pct_gdp,exports_to_remittances_ratio,inflation_avg_pct,formal_employees_avg,formal_female_share,formal_months,remit_yoy_growth_pct,exports_yoy_growth_pct
2001,,,,,,10.559,,,,,,,,,
2002,,,,,,27.599,,,,,,,,,161.37891845818734
2003,,,,,,35.589544,,,,,,,,,28.952295373020753
2004,357.00114616252927,,,,,56.56679,,,0.15844988344728522,-1.0333333333333334,,,,,58.94216009061539
2005,418.0206464891023,,,,,56.276056750000016,,,0.13462506510779992,-1.3499999999999999,,,,17.092242134929503,-0.5139645541137883
2006,467.15,135.13,184.68,147.34,39.533340468800176,110.77362487000002,,,0.23712645803275184,0.625,,,,11.752853339548741,96.8397063818797
2007,588.5331733023289,156.46734430341394,226.81372911096716,205.25209988794785,38.538818098950756,165.11235059999998,,,0.2805489275541345,4.333333333333333,,,,25.983768233400184,49.05384814640665
2008,608.72,126.3,213.08,269.33,35.00459981600736,198.46312759999998,3537.599,17.207150951817884,0.3260335254304113,9.516666666666667,,,,3.430023593130782,20.198838475018356
2009,585.7,148.77,213.12,223.81,36.387228956803824,165.32758657999997,3610.441,16.222394992744658,0.28227349595355977,-2.4166666666666665,,,,-3.7817058746221544,-16.696069149320415
2010,584.33,141.33,213.12,229.88,36.47254120103366,295.95675519,4030.991,14.49593908793148,0.5064890647237007,3.49556113583197,,,,-0.2339081441010804,79.01232414518444
2011,492.5233890762786,93.86330425783073,220.24599999999998,178.41408481844786,44.71787632523779,319.1647601,4555.903,10.810664517578152,0.6480194995380616,7.382389467279399,,,,-15.711432054442087,7.841687848990242
2012,516.3555060867395,92.64328747368586,236.665071,187.0471476130536,45.83374597737785,276.10006190999997,4797.278,10.763510184040607,0.5347092432546261,2.484175738284381,,,,4.83877873397196,-13.49293643086007
2013,573.3924234432263,115.42914643921523,250.2547970832505,207.70847992076057,43.644594321715715,293.84226633,5071.333,11.306542548935878,0.5124627642714124,1.7805704563119191,,,,11.046055805378696,6.426005230590426
2014,622.2788801821025,115.24964184505713,281.61188888332464,225.41734945372087,45.254932772411344,324.5431542,5325.095,11.685779881525164,0.5215397220375313,0.4262037345391365,,,,8.525828863470597,10.448084359491471
2015,665.4869067088507,121.09022901569598,303.3274410792343,241.0692366139204,45.579775953719775,325.29370302000007,5674.422,11.727836010590167,0.4888055643780163,-0.5452705691265469,,,,6.943514861713429,0.23126318034658588
2016,690.9570559588524,116.29278781885998,324.36859990999994,250.29566822999243,46.9448277736839,309.6271367383256,6037.273,11.444853594642023,0.4481134305932385,0.2717997432485504,,,,3.827295322151958,-4.816129588807705
2017,759.1885427504004,120.43212240000021,363.74424415,275.0121762004001,47.912240987228486,378.0104438099161,6356.456,11.943582127374128,0.497913788899466,1.4904778792920002,,,,9.874924382509143,22.085695650566684
2018,800.5676502654898,123.08343333564396,387.48267015,290.0015467798458,48.400990225060966,367.5001203585225,6671.522,11.999775317618525,0.4590494260374493,1.0551783897367681,,,,5.450438881121733,-2.7804320286660578
2019,851.5322464315369,122.94603024598491,420.09856527,308.48765091555197,49.33442826510456,383.50208845,7056.172,12.067906599095615,0.45036707659295144,2.674435585528458,311476.5833333333,0.3407757512001304,12,6.366057403037195,4.354275605642366
2020,979.9791029326079,141.31788673712407,671.9729862439999,166.62041960148392,68.5701342235877,474.9598553499996,6771.601,14.471896718849914,0.48466324835771735,0.21047580777631866,334541.9166666667,0.3417195104848595,12,15.084203450819999,23.848049242611523
2021,1153.3633830745998,178.82084205587012,664.11219694,310.454180769122,57.58048215208902,756.0005058099993,7957.876,14.493357060032096,0.6554746898541871,3.360181265592485,354628.6666666667,0.35386991651361144,12,17.69265075379014,59.17145360693689
2022,1222.80689667688,207.05635611578,702.08165319,313.668887371102,57.41557846116084,920.40465813,8895.728,13.746001414126871,0.7526982883653232,11.561424382864393,372612.1666666667,0.3661367292980682,12,6.020957021989015,21.74656644493296
2023,1335.7617347693517,216.12631573558545,753.0390839699993,366.59633506376707,56.375254985128606,863.1364759699999,9680.068,13.799094539101914,0.6461754768855085,5.041666666666667,389501.3333333333,0.37621993591806274,12,9.237340613586632,-6.222065659288689
2024,1355.0109741965646,222.52471444418666,765.709955717,366.77630403537796,56.50950215890445,943.6040186700006,10350.373,13.091421673369306,0.6963810896288112,1.625,397401.3333333333,0.3843249561316688,12,1.4410683377254152,9.322690552449497
2025,,,,,,,,,,3.042857142857143,327770.0,0.08489315242831429,7,,
